,OLS,OLS_c,Bootstrap,Bootstrap_c,LINMIX,Chi2
0,0.06078851066944626,0.13741469926102942,0.041168056312974696,0.09306192922163385,0.1281234371392681,0.18334415569933132
1,0.12756343003400888,0.23484323159113848,0.08939890076255592,0.16458264527832825,0.21849599846028203,0.24109344084759268
2,-0.08060112177377014,-0.18717975716067087,-0.050093825739963745,-0.11633274985394519,-0.25175459260323174,0.1095954892756128
3,0.07319171811481287,0.15413780151773623,0.053841290418849226,0.11338684689736489,0.16211499519865613,-0.10844387337288376
4,0.13413730115716682,0.3343407223966722,0.08137750066956564,0.20283554332749867,0.3783732674565876,0.2663518731180263
5,0.1159825252335801,0.23722927880867445,0.07763987450760693,0.15880367666717207,0.2546610510699005,0.34745106720060154
6,0.2221827858913714,0.497320806504577,0.14481698220288355,0.3241497674797766,0.48408056980072056,0.2877916064539813
7,0.20188918439721215,0.36058999075689047,0.14536744149727143,0.2596377044285972,0.362698753855534,-0.03891493029416179
8,0.33275303002423323,0.6820899352149564,0.21993278129630836,0.4508266582429592,0.7013745392631623,-0.24339523849110306
9,0.08027241102478397,0.15130911864079627,0.05002589949270041,0.0942960933254705,0.13573761916043878,1.0432133209477827
10,0.19017597907940445,0.4410163951381404,0.12439258318276922,0.2884652882175026,0.43105748488282103,-0.4642378548955501
11,0.15199258033774593,0.37516963460725095,0.0997598425981488,0.2462413863417367,0.3753989099428991,-0.2622072194166281
12,0.06795594981727968,0.14245787349911485,0.04736779390072548,0.09929837210112616,0.12431961083414882,-0.08254030576221305
13,0.08549781285751315,0.15288307588435582,0.06382222592291534,0.11412383408149532,0.18720695717725522,0.1064190982513633
14,0.08418513323419871,0.1837497777778489,0.05519088937243751,0.12046442486863591,0.19266818721852208,-0.2222348751279773
15,0.05167580933127143,0.11553368013434737,0.032067423463134376,0.07169442516849843,0.12753897481248147,0.07741675290677669
16,0.11799877030099017,0.24765027774419382,0.07673488907007928,0.16104758161802277,0.272702788469148,0.09153624639835503
17,0.09465191030026875,0.21473501093824174,0.059662492669340435,0.13535517640701236,0.19165090133167695,0.3520320983932932
18,0.11438856829781913,0.2896392717519363,0.0701225990405647,0.1775549674385549,0.2945119521544968,0.37018764057920794
19,0.06531045213112081,0.14439322766012808,0.0404370938367515,0.089401348570695,0.17611929433148898,0.1640857254429047
20,0.1218393883876037,0.334868364944765,0.0754919000656242,0.20748502989137804,0.4072919956780902,0.2982434935811955
21,0.24683466528901601,0.6658245988471069,0.15740743540351004,0.42459896145615555,0.6531677778267139,0.544318889447272
