snid,mean0,sigma0,weight0,mean1,sigma1,weight1,mean2,sigma2,weight2
762,2.2480019594707366,0.75524517201478,0.31603372047060574,5.517729410363687,1.0710722475657424,0.423335741181884,7.933937085310349,1.105289816970306,0.26063053834750405
1032,2.4166621599975344,1.01841989501269,0.2407725336930787,8.042995325957557,1.2767292621675748,0.31121212734722087,5.585509243892079,1.0931878180506018,0.4480153389597044
1371,8.129985589697243,1.5854292235638403,0.2277820446998584,9.927981732575034,0.790985678560198,0.48793116440125633,1.7514847328746135,0.7466268701876474,0.28428679089888453
1794,2.3633812798053637,0.6618184214127127,0.3066428135400811,5.226146558781553,0.929656995747525,0.3081246936585992,4.1116746227125205,0.7168638224790708,0.38523249280131894
2372,3.8731423678471675,1.3862577073912936,0.200275519860247,7.755723840026893,1.1956785370352645,0.23797749516673342,5.858634587910825,0.8797664578635307,0.5617469849730197
2440,4.859614942376217,0.5908817224838456,0.3438016248897166,2.039282610636111,0.5865207639310608,0.2989017651774718,3.5154331351176387,0.5762463226814999,0.35729660993281365
3087,2.4378852388254146,0.4276468162902535,0.2911342650881889,3.655423606510011,0.6692030141138606,0.13904865349260703,1.5929965119089862,0.3279283057545016,0.5698170814192073
3317,2.600323504862367,0.9047722953628428,0.2962807502435224,5.440831719433276,0.9571564519117702,0.4113420489660684,7.316762561794191,1.156466957193221,0.29237720079040563
3592,4.184403608988466,0.6462050545332554,0.4714582643375595,2.81195521702328,0.6550647744754173,0.4973866902563674,7.192299778623506,0.7722869865283339,0.031155045406078698
3674,3.421734122918573,0.5378693694093489,0.2996144823054954,1.4067041010499493,0.36961281100246446,0.3652596348331231,2.4032920998411917,0.4357222297271863,0.3351258828613837
3901,2.651290020613462,0.37297601070637015,0.3811232028477309,3.390284426831801,0.3681131627033929,0.4727832936244841,4.244508681545157,0.7308741088384837,0.1460935035277768
4019,2.006594909417797,0.5971530390777932,0.3793335863566007,3.5760543653896373,0.7052335172117374,0.3999620340208745,4.727375419986226,1.1366582809129828,0.2207043796225196
5103,2.745836270232115,0.4262184781207502,0.40077964697228186,1.6212602081174914,0.4305504412335642,0.37662173274125066,3.7790769237246504,0.5203632860972742,0.22259862028646185
5550,2.5476090758966046,0.4662105783485269,0.30621734746146373,3.9407505215748637,0.7413109810237867,0.15562769621299588,1.5374212007974188,0.34062530071548264,0.538154956325534
5751,7.190882180573474,0.6488362869566767,0.5687306800146197,3.504224476882089,0.9801425353300085,0.14690334517227902,6.044905849016044,0.7588537801021655,0.2843659748131036
5890,2.111521469376984,0.6580914485994084,0.36977919481709554,3.824969526852985,0.7249229987571478,0.36570547236985296,5.163271078815356,0.9843682960125676,0.2645153328130563
5916,1.885485080679916,0.7105735154997035,0.297952575077159,7.963784157370001,1.3168501363390004,0.2689035140314414,9.502802522085032,0.7033778981165316,0.433143910891399
5944,6.97305020790064,0.7630513265900551,0.48171234916375294,5.17120779860021,0.8488706453379907,0.3327944531238365,2.544533028263916,0.9600062336872102,0.1854931977124129
6057,5.8132668572453925,0.7475174627421427,0.35774115376225185,3.79862055091043,1.0935411442037164,0.1500469131959607,6.989101857310552,0.6899876289428952,0.49221193304178634
6406,5.113779924409637,0.8740047327777148,0.23959162472015563,6.964169976247962,0.6829531403129313,0.5810856639804416,2.4917322791916336,0.936177304799677,0.1793227112993977
6422,2.1536480272578715,0.4648888104254031,0.3178083911653043,3.238254179631176,0.5417786249982554,0.37513311618565137,4.21323375598588,0.8058146606158756,0.30705849264904644
